GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flight-migration-app,com.example.flightapp.common.domain,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
flight-migration-app,com.example.flightapp,FlightAppApplication,5,3,0,0,2,1,1,1,1,1
flight-migration-app,com.example.flightapp.batch.config,BatchConfig,115,169,13,3,26,48,9,12,2,11
flight-migration-app,com.example.flightapp.batch.config,FlightCsvRow,0,45,0,0,0,13,0,13,0,13
flight-migration-app,com.example.flightapp.booking.persistence,BookingEntity,4,55,0,0,1,16,1,16,1,16
flight-migration-app,com.example.flightapp.booking.persistence,BookingMapper,0,72,0,0,0,20,0,3,0,3
flight-migration-app,com.example.flightapp.booking.domain,Booking,14,76,2,0,4,25,2,16,1,16
flight-migration-app,com.example.flightapp.booking.domain,BookingStatus,0,24,0,0,0,3,0,1,0,1
flight-migration-app,com.example.flightapp.batch.api,BatchJobController,223,15,20,0,44,6,15,1,5,1
flight-migration-app,com.example.flightapp.batch.api,BatchJobLaunchResponse,36,0,0,0,16,0,8,0,8,0
flight-migration-app,com.example.flightapp.common.api,GlobalExceptionHandler,27,30,0,0,7,8,2,3,2,3
flight-migration-app,com.example.flightapp.common.api,ApiErrorResponse,15,21,0,0,8,8,4,4,4,4
flight-migration-app,com.example.flightapp.auth.model,CurrentUserResponse,36,0,0,0,13,0,6,0,6,0
flight-migration-app,com.example.flightapp.auth.model,AppRole,34,0,0,0,4,0,1,0,1,0
flight-migration-app,com.example.flightapp.auth.api,CurrentUserController,31,3,2,0,6,1,2,1,1,1
flight-migration-app,com.example.flightapp.flight.persistence,FlightEntity,4,69,0,0,1,20,1,20,1,20
flight-migration-app,com.example.flightapp.flight.persistence,FlightMapper,0,88,0,0,0,24,0,3,0,3
flight-migration-app,com.example.flightapp.flight.domain,FlightStatus,0,54,0,0,0,6,0,1,0,1
flight-migration-app,com.example.flightapp.flight.domain,Flight,35,183,7,13,7,57,7,30,0,27
flight-migration-app,com.example.flightapp.flight.domain,FlightPolicy,25,59,9,13,5,11,9,4,0,2
flight-migration-app,com.example.flightapp.booking.application,BookingApplicationService,20,126,2,8,4,29,3,11,1,8
flight-migration-app,com.example.flightapp.auth.config,SecurityConfig,0,236,0,0,0,36,0,4,0,4
flight-migration-app,com.example.flightapp.flight.api,FlightResponse,0,72,0,0,0,21,0,11,0,11
flight-migration-app,com.example.flightapp.flight.api,FlightRequest,0,45,0,0,0,13,0,13,0,13
flight-migration-app,com.example.flightapp.flight.api,FlightController,4,99,3,7,0,25,3,8,0,6
flight-migration-app,com.example.flightapp.flight.api,FlightStatusRequest,0,10,0,0,0,4,0,3,0,3
flight-migration-app,com.example.flightapp.flight.api,FlightPageResponse,2,66,1,3,0,16,1,8,0,7
flight-migration-app,com.example.flightapp.booking.api,BookingRequest,0,24,0,0,0,7,0,7,0,7
flight-migration-app,com.example.flightapp.booking.api,BookingController,0,29,0,0,0,10,0,4,0,4
flight-migration-app,com.example.flightapp.booking.api,BookingResponse,0,58,0,0,0,17,0,9,0,9
flight-migration-app,com.example.flightapp.flight.application,FlightApplicationService,71,205,5,9,15,51,7,16,3,13
